SourceCustomerID,CustomerID,SimilarityScore
C0001,C0184,0.9935361505529634
C0001,C0048,0.9819633019307646
C0001,C0190,0.96452185148707
C0002,C0088,0.9969797125397819
C0002,C0092,0.9325613055281542
C0002,C0106,0.8980222574044779
C0003,C0076,0.9404332587915766
C0003,C0052,0.907494770047139
C0003,C0031,0.89210854266686
C0004,C0169,0.9782312469406791
C0004,C0165,0.9754779029572564
C0004,C0087,0.9674980795144096
C0005,C0186,0.9975528405534099
C0005,C0140,0.9914576584599086
C0005,C0146,0.9874625390454319
C0006,C0126,0.9873781676878249
C0006,C0187,0.9866486853287836
C0006,C0011,0.9768494236461036
C0007,C0146,0.9999960694525919
C0007,C0005,0.9870715284016797
C0007,C0115,0.983673570134625
C0008,C0065,0.8534704495697409
C0008,C0059,0.8477476181748635
C0008,C0160,0.7635352431491156
C0009,C0198,0.9999798466237244
C0009,C0061,0.9674993267776647
C0009,C0062,0.9583454074311181
C0010,C0062,0.939555825706376
C0010,C0111,0.9244011766626448
C0010,C0103,0.8648690544873028
C0011,C0006,0.9768494236461036
C0011,C0137,0.9627551100531342
C0011,C0126,0.9552355014834947
C0012,C0163,0.9926558110685144
C0012,C0104,0.971599685888965
C0012,C0113,0.9713071153466543
C0013,C0099,0.9859918517886906
C0013,C0108,0.961011434215197
C0013,C0082,0.8192681690383213
C0014,C0060,0.9993796306016353
C0014,C0089,0.897785238333565
C0014,C0097,0.8817253942106267
C0015,C0131,0.9786851288980469
C0015,C0036,0.9669115180242005
C0015,C0094,0.9452284020178181
C0016,C0183,0.9762658054498059
C0016,C0067,0.9006034510639328
C0016,C0098,0.8668350122214663
C0017,C0041,0.9657065314849451
C0017,C0075,0.9601390077693512
C0017,C0057,0.9298816181979748
C0018,C0122,0.9920238534027481
C0018,C0046,0.9804062796596844
C0018,C0194,0.895084992365778
C0019,C0073,0.9950125509991555
C0019,C0132,0.9631244202698918
C0019,C0167,0.959349062665725
C0020,C0157,0.8973333415310073
C0020,C0058,0.8615344712188333
C0020,C0033,0.8583557370200212
C0021,C0173,0.9803668518514689
